address;planned_area_id;nearest_node;coordinates
Alter Fischmarkt 12;1;849345.484250366,6793629.937395335;849331.1999451659,6793623.650326644
Altumstraße 1;1;847470.7193100692,6794752.576609364;847457.253544628,6794774.001368685
Altumstraße 3;1;847484.3448157423,6794754.257053169;847484.6080802468,6794784.272802439
Altumstraße 5;1;847491.0907768845,6794753.046410823;847497.660728185,6794779.648162213
Altumstraße 7;1;847491.0907768845,6794753.046410823;847512.3024670967,6794776.678610289
Altumstraße 9;1;847491.0907768845,6794753.046410823;847526.9750817341,6794772.084894576
Altumstraße 11;1;847567.7453782448,6794733.802642588;847541.616796863,6794769.115291963
Altumstraße 13;1;847567.7453782448,6794733.802642588;847557.940254607,6794762.928349371
Altumstraße 14;1;847567.7453782448,6794733.802642588;847554.1610969583,6794705.990896783
Altumstraße 15;1;847604.2581712247,6794756.714476997;847588.9671061068,6794750.523425987
Altumstraße 16;1;847567.7453782448,6794733.802642588;847567.028313965,6794711.110937618
Am Breilbusch 7;2;843504.5283045447,6796388.753169657;843568.9568682776,6796378.84243238
Am Breilbusch 21;2;843319.8937971151,6796262.605044169;843359.4912139191,6796231.729211596
Am Breilbusch 23;2;843290.4831876475,6796218.164503673;843330.7073626634,6796211.66377093
Am Kreuztor 1;1;848684.0238360723,6794214.20205073;848652.1741163471,6794229.751760107
Am Kreuztor 2;1;848610.7533472321,6794248.423076095;848631.9381955725,6794271.607969382
Am Kreuztor 3;1;848593.1537357378,6794307.361633043;848628.2384515499,6794295.907201895
Am Kreuztor 5;1;848581.5876406443,6794339.722010291;848599.3199577583,6794368.467118126
Am Kreuztor 6;1;848565.7802729517,6794422.583956641;848574.2236264099,6794410.231642277
Am Kreuztor 8;1;848565.7802729517,6794422.583956641;848560.804042574,6794434.346730044
Am Kreuztor 9;1;848565.7802729517,6794422.583956641;848547.7525381283,6794438.9729064945
Am Kreuztor 10;1;848519.7385315595,6794420.126634214;848525.0120945952,6794441.790413817
An der Apostelkirche 1;1;849156.1186645775,6793777.905687216;849135.6965298947,6793766.161055243
An der Apostelkirche 2;1;849189.7705466443,6793784.211111607;849195.1099775077,6793794.901545872
An der Apostelkirche 3;1;849119.1383297361,6793803.886235332;849115.8615826613,6793786.904740535
An der Apostelkirche 4;1;849142.5822144971,6793817.63536302;849145.9045743753,6793826.461792027
Appelbreistiege 38;2;844101.7685045996,6794189.213927685;844075.5457125581,6794250.466331534
Appelbreistiege 40;2;843919.1377480043,6794279.554578012;843938.4023734853,6794303.022808346
Arnheimweg 1;2;843772.6746939676,6794204.2465419965;843785.0767182764,6794187.923182992
Bentelerstraße 2;2;845202.0503516005,6795188.058121172;845209.0633790798,6795216.503058442
Bergstraße 17;1;848926.6224023581,6793840.110991274;848906.0190404163,6793830.044095521
Bergstraße 19;1;848876.66221489,6793854.673208156;848878.3903626719,6793834.39431862
Bergstraße 21;1;848876.66221489,6793854.673208156;848857.179692258,6793842.115143905
Bergstraße 23;1;848816.5051620653,6793873.065722981;848834.3491638339,6793849.805223184
Bergstraße 26;1;848789.8664079186,6793881.954851212;848782.1780658313,6793866.686344934
Bergstraße 27;1;848753.8879484942,6793900.45583231;848760.9365882848,6793876.03091314
Bergstraße 29;1;848713.4121816417,6793887.429258208;848731.4121002499,6793894.965668446
Bergstraße 30;1;848707.4120610881,6793900.835247406;848706.7776107085,6793912.3685551025
Bergstraße 30a;1;848693.0852426229,6793944.341629386;848687.0638135546,6793926.615631539
Bergstraße 33;1;848610.2301456255,6793997.062716144;848613.098130222,6793982.0719380425
Bergstraße 36;1;848761.2350348865,6793985.210378863;848781.6231754207,6793982.019421795
Bergstraße 38;1;848760.622777687,6793983.0784054;848783.4880590764,6793969.05823254
Bergstraße 40;1;848771.5209558357,6793909.435327634;848793.9421748794,6793930.266904455
Bergstraße 48;1;848807.3213040751,6793891.2053364795;848810.6611265105,6793902.966360427
Bergstraße 49;1;848818.4198573071,6793887.46539292;848818.790892462,6793901.495895362
Bergstraße 50;1;848818.4198573071,6793887.46539292;848830.2215521327,6793896.83887555
Bergstraße 51;1;848818.4198573071,6793887.46539292;848846.5116790414,6793892.273928868
Bergstraße 52;1;848876.66221489,6793854.673208156;848862.8324014668,6793886.084981608
Bergstraße 54;1;848876.66221489,6793854.673208156;848875.882839554,6793881.45859703
Bergstraße 55;1;848876.66221489,6793854.673208156;848888.8720465361,6793880.0801308965
Bergstraße 56;1;848915.0229114174,6793863.20097015;848897.0017762573,6793878.6095907865
Bergstraße 57;1;848915.0229114174,6793863.20097015;848908.3711513459,6793877.200408615
Besselweg 2;2;843719.541901012,6794315.799530224;843757.8999650266,6794335.23263587
Besselweg 2a;2;843801.3951225922,6794393.746602184;843777.022232697,6794351.853526775
Besselweg 3;2;843801.3951225922,6794393.746602184;843769.4038130541,6794410.191987711
Besselweg 4;2;843820.6199986521,6794405.942839188;843839.8500058576,6794370.954518868
Besselweg 5;2;843836.1045398215,6794419.187069951;843814.286580459,6794435.4406052735
Besselweg 6;2;843892.999931566,6794339.45098482;843899.596336407,6794381.871497676
Besselweg 7;2;843854.2162209736,6794457.022686183;843831.5046801615,6794466.646341331
Besselweg 8;2;843854.2162209736,6794457.022686183;843878.956295431,6794443.204850471
Besselweg 10;2;843854.2162209736,6794457.022686183;843919.23270668,6794455.365478096
Besselweg 11;2;843844.6761406127,6794514.228160862;843825.8859560519,6794505.528618431
Besselweg 12;2;843854.5613113951,6794490.034134728;843886.1390615797,6794490.4609028855
Besselweg 14;2;843844.6761406127,6794514.228160862;843864.2897334762,6794530.650435028
Besselweg 15;2;843844.6761406127,6794514.228160862;843802.5112537533,6794540.814139385
Besselweg 17;2;843764.8378018157,6794634.837995378;843784.0594100544,6794572.94673762
Besselweg 18;2;843764.8378018157,6794634.837995378;843815.8887440207,6794602.81437414
Besselweg 19;2;843764.8378018157,6794634.837995378;843767.3222684946,6794600.238894362
Besselweg 21;2;843753.1937830787,6794658.291622018;843730.6393961803,6794653.13583174
Besselweg 22;2;843762.8229190323,6794694.50213123;843772.3151073285,6794676.697900938
Besselweg 23;2;843742.6072995042,6794685.684387527;843707.2322004845,6794690.045803038
Besselweg 24;2;843762.8229190323,6794694.50213123;843760.184465322,6794717.078357618
Besselweg 25;2;843742.6072995042,6794685.684387527;843676.7379793853,6794674.8259948995
Besselweg 26;2;843800.5936222584,6794712.517100575;843766.0631777099,6794748.063263608
Besselweg 27;2;843626.5567303522,6794606.307057322;843651.0403948246,6794662.949511919
Besselweg 28;2;843712.9295232587,6794767.122397953;843754.3437266565,6794767.330559326
Besselweg 29;2;843712.9295232587,6794767.122397953;843695.2594773906,6794722.305698885
Besselweg 30;2;843707.1297777885,6794781.252617608;843734.3977720612,6794792.935728789
Besselweg 31;2;843644.0227584577,6794745.150136069;843669.5933729965,6794708.8051020885
Besselweg 32;2;843689.1850758726,6794819.342897757;843727.4115297603,6794818.794758558
Besselweg 34;2;843689.1850758726,6794819.342897757;843718.6786629973,6794851.118651795
Besselweg 35;2;843712.9295232587,6794767.122397953;843684.9066245925,6794754.597439229
Besselweg 36;2;843687.7601863905,6794920.76727365;843693.8091067807,6794879.877060337
Besselweg 37;2;843644.0227584577,6794745.150136069;843659.2087765847,6794742.720862935
Besselweg 38;2;843712.6512245319,6794930.398409065;843717.7924972937,6794896.594417896
Besselweg 38a;2;843712.6512245319,6794930.398409065;843725.829179427,6794900.001342502
Besselweg 38b;2;843735.3270048065,6794938.33100387;843735.4225741491,6794906.688268876
Besselweg 40;2;843786.0107689645,6794929.982806362;843762.551211696,6794928.341438102
